policy_id,customer_age,region_code,region_density,subscription_length,property_age,property_value,property_type,coverage_amount,claim_date,claim_type,claim_amount,deductible_met,year,month,year_month
POL049624,42,C21,3264,7.3,31,257000,Townhouse,241000,2021-02-25,Fire (Non-Wildfire),27295.52,True,2021,2,2021-02
POL009181,36,C2,27003,10.3,22,487000,Townhouse,412000,2021-02-04,Fire (Non-Wildfire),18212.81,True,2021,2,2021-02
POL055234,36,C2,27003,0.7,41,544000,Condo,486000,2021-02-06,Water Damage,12402.55,True,2021,2,2021-02
POL008874,45,C8,8794,10.3,52,118000,Single-Family,102000,2021-02-15,Theft,2205.0,True,2021,2,2021-02
POL051775,35,C22,16733,1.7,19,292000,Single-Family,285000,2021-02-13,Theft,3478.54,True,2021,2,2021-02
POL003524,53,C12,34791,10.5,16,241000,Condo,230000,2021-02-13,Wind/Hail,11863.12,True,2021,2,2021-02
POL057190,37,C2,27003,6.1,22,190000,Single-Family,181000,2021-02-18,Theft,2500.52,True,2021,2,2021-02
POL035107,48,C8,8794,11.4,2,271000,Single-Family,264000,2021-02-17,Water Damage,9037.58,True,2021,2,2021-02
POL037309,39,C15,290,0.8,28,215000,Condo,196000,2021-02-28,Theft,1801.87,True,2021,2,2021-02
POL032001,37,C6,13051,11.6,17,385000,Condo,360000,2021-02-01,Water Damage,11964.14,True,2021,2,2021-02
POL018717,44,C10,73430,8.8,6,608000,Single-Family,553000,2021-02-04,Wind/Hail,6506.85,True,2021,2,2021-02
POL054853,61,C2,27003,11.2,34,425000,Townhouse,372000,2021-02-11,Theft,1242.44,True,2021,2,2021-02
POL047307,36,C13,5410,1.0,19,295000,Single-Family,256000,2021-02-25,Liability,8573.76,True,2021,2,2021-02
POL022473,41,C22,16733,4.5,35,244000,Condo,216000,2021-02-19,Water Damage,15158.65,True,2021,2,2021-02
POL037241,41,C7,6112,3.7,22,420000,Single-Family,381000,2021-02-28,Theft,2254.48,True,2021,2,2021-02
POL056511,41,C11,6108,3.0,31,375000,Condo,304000,2021-02-13,Theft,1403.97,True,2021,2,2021-02
POL030197,41,C5,34738,3.0,32,417000,Townhouse,359000,2021-02-16,Liability,12900.02,True,2021,2,2021-02
POL056984,48,C3,4076,10.7,39,345000,Condo,324000,2021-02-19,Wind/Hail,4725.29,True,2021,2,2021-02
POL013809,42,C22,16733,11.8,32,414000,Single-Family,382000,2021-02-15,Wind/Hail,5555.51,True,2021,2,2021-02
POL044320,44,C14,7788,12.2,24,314000,Condo,263000,2021-02-28,Theft,3041.27,True,2021,2,2021-02
POL002964,45,C14,7788,11.0,20,442000,Condo,416000,2021-02-12,Wind/Hail,6811.85,True,2021,2,2021-02
POL046757,58,C6,13051,2.5,23,338000,Single-Family,317000,2021-02-23,Theft,2534.31,True,2021,2,2021-02
POL028950,39,C3,4076,6.8,40,216000,Single-Family,196000,2021-02-08,Theft,1887.03,True,2021,2,2021-02
POL048101,35,C8,8794,7.9,27,218000,Single-Family,206000,2021-02-27,Liability,3452.32,True,2021,2,2021-02
POL009877,46,C8,8794,11.6,26,257000,Condo,224000,2021-02-22,Theft,4420.73,True,2021,2,2021-02
POL047279,40,C19,27742,1.1,45,423000,Single-Family,379000,2021-02-01,Theft,4360.72,True,2021,2,2021-02
POL034299,45,C14,7788,5.8,42,262000,Townhouse,256000,2021-02-22,Water Damage,8582.22,True,2021,2,2021-02
POL058454,39,C1,4990,5.2,27,275000,Single-Family,229000,2021-02-08,Liability,16006.42,True,2021,2,2021-02
POL043908,43,C2,27003,1.1,46,369000,Single-Family,298000,2021-02-05,Water Damage,8389.95,True,2021,2,2021-02
POL018180,43,C2,27003,12.2,52,439000,Single-Family,359000,2021-02-24,Water Damage,5874.14,True,2021,2,2021-02
POL010903,36,C13,5410,3.1,21,246000,Single-Family,199000,2021-02-28,Water Damage,8750.65,True,2021,2,2021-02
POL048938,36,C14,7788,6.1,46,288000,Condo,256000,2021-02-01,Liability,12676.21,True,2021,2,2021-02
POL040319,36,C22,16733,9.1,1,267000,Single-Family,242000,2021-02-12,Water Damage,13564.06,True,2021,2,2021-02
POL018226,43,C8,8794,7.6,27,334000,Single-Family,279000,2021-02-04,Other,3114.04,True,2021,2,2021-02
POL038171,36,C13,5410,0.8,31,296000,Single-Family,258000,2021-02-15,Wind/Hail,10091.13,True,2021,2,2021-02
POL058272,46,C15,290,11.3,11,273000,Single-Family,269000,2021-02-28,Theft,2339.22,True,2021,2,2021-02
POL010209,65,C8,8794,11.7,37,173000,Duplex,164000,2021-02-09,Theft,1933.06,True,2021,2,2021-02
POL039006,37,C9,17804,2.6,28,465000,Townhouse,430000,2021-02-10,Water Damage,13564.08,True,2021,2,2021-02
POL016910,41,C13,5410,9.6,1,386000,Single-Family,320000,2021-02-21,Wind/Hail,9347.31,True,2021,2,2021-02
POL007869,42,C8,8794,10.5,26,324000,Duplex,316000,2021-02-13,Water Damage,8761.6,True,2021,2,2021-02
POL000796,40,C9,17804,0.7,18,475000,Condo,460000,2021-02-10,Water Damage,9663.89,True,2021,2,2021-02
POL002651,46,C5,34738,5.2,38,618000,Duplex,584000,2021-02-28,Wind/Hail,6684.65,True,2021,2,2021-02
POL017167,36,C8,8794,12.1,1,455000,Single-Family,451000,2021-02-10,Water Damage,9218.58,True,2021,2,2021-02
POL024393,54,C15,290,6.3,17,289000,Townhouse,276000,2021-03-21,Water Damage,7999.64,True,2021,3,2021-03
POL020626,57,C8,8794,10.3,13,410000,Townhouse,336000,2021-03-17,Liability,15971.74,True,2021,3,2021-03
POL049993,39,C9,17804,9.5,24,397000,Single-Family,337000,2021-03-02,Liability,9886.64,True,2021,3,2021-03
POL024438,37,C15,290,4.3,43,212000,Single-Family,203000,2021-03-10,Wind/Hail,7412.88,True,2021,3,2021-03
POL049315,42,C8,8794,2.6,39,265000,Single-Family,224000,2021-03-07,Theft,3698.98,True,2021,3,2021-03
POL054671,41,C2,27003,6.0,21,198000,Condo,166000,2021-03-03,Water Damage,8108.49,True,2021,3,2021-03
POL006795,35,C5,34738,5.9,1,657000,Single-Family,628000,2021-03-01,Liability,13686.08,True,2021,3,2021-03
POL042311,41,C11,6108,4.4,7,305000,Duplex,275000,2021-03-09,Liability,9185.58,True,2021,3,2021-03
POL032435,37,C8,8794,10.7,4,373000,Single-Family,312000,2021-03-04,Water Damage,10493.9,True,2021,3,2021-03
POL017364,42,C10,73430,3.0,34,392000,Condo,359000,2021-03-03,Water Damage,500.0,False,2021,3,2021-03
POL009599,40,C8,8794,1.2,31,297000,Condo,290000,2021-03-05,Water Damage,2971.78,True,2021,3,2021-03
POL016790,58,C9,17804,2.9,44,431000,Single-Family,376000,2021-03-17,Water Damage,10447.52,True,2021,3,2021-03
POL054592,43,C3,4076,9.0,19,339000,Condo,299000,2021-03-17,Wind/Hail,2073.71,True,2021,3,2021-03
POL049686,39,C8,8794,10.6,14,271000,Single-Family,252000,2021-03-13,Theft,2011.06,True,2021,3,2021-03
POL029009,36,C2,27003,10.9,39,513000,Single-Family,428000,2021-03-27,Theft,3903.38,True,2021,3,2021-03
POL054802,54,C5,34738,2.9,21,412000,Condo,397000,2021-03-01,Water Damage,11437.3,True,2021,3,2021-03
POL054089,35,C8,8794,0.4,43,190000,Single-Family,185000,2021-03-13,Other,5873.89,True,2021,3,2021-03
POL038709,54,C8,8794,2.9,35,525000,Single-Family,518000,2021-03-07,Wind/Hail,6180.93,True,2021,3,2021-03
POL053925,40,C13,5410,0.9,30,100000,Townhouse,81000,2021-03-12,Theft,2417.26,True,2021,3,2021-03
POL052823,49,C13,5410,10.7,14,263000,Single-Family,240000,2021-03-23,Water Damage,8534.49,True,2021,3,2021-03
POL027042,44,C8,8794,9.8,41,180000,Townhouse,146000,2021-03-09,Liability,7560.77,True,2021,3,2021-03
POL019702,45,C8,8794,11.7,29,207000,Single-Family,200000,2021-03-21,Theft,2286.83,True,2021,3,2021-03
POL001941,48,C8,8794,11.1,35,271000,Condo,221000,2021-03-18,Liability,5949.47,True,2021,3,2021-03
POL016979,39,C13,5410,7.6,9,329000,Single-Family,299000,2021-03-25,Liability,17630.83,True,2021,3,2021-03
POL056717,39,C9,17804,3.6,49,494000,Single-Family,476000,2021-03-20,Water Damage,11010.72,True,2021,3,2021-03
POL026599,48,C8,8794,11.0,14,267000,Condo,252000,2021-03-21,Water Damage,4554.37,True,2021,3,2021-03
POL054553,57,C10,73430,2.4,38,673000,Single-Family,658000,2021-03-13,Water Damage,6238.87,True,2021,3,2021-03
POL014679,45,C8,8794,3.9,2,205000,Single-Family,196000,2021-03-01,Other,3468.69,True,2021,3,2021-03
POL052044,37,C2,27003,12.0,44,394000,Condo,383000,2021-03-02,Wind/Hail,6650.68,True,2021,3,2021-03
POL026744,40,C21,3264,5.8,27,289000,Single-Family,240000,2021-03-08,Fire (Non-Wildfire),14504.95,True,2021,3,2021-03
POL010796,43,C3,4076,3.3,35,473000,Condo,441000,2021-03-02,Water Damage,8724.77,True,2021,3,2021-03
POL043753,50,C9,17804,11.5,22,501000,Single-Family,423000,2021-03-12,Theft,3071.31,True,2021,3,2021-03
POL029010,41,C9,17804,7.5,31,427000,Single-Family,394000,2021-03-24,Liability,14880.11,True,2021,3,2021-03
POL035716,40,C2,27003,0.3,65,133000,Single-Family,115000,2021-03-01,Water Damage,14227.83,True,2021,3,2021-03
POL016453,44,C14,7788,10.9,22,389000,Condo,322000,2021-03-09,Wind/Hail,6600.15,True,2021,3,2021-03
POL045751,47,C12,34791,1.4,9,470000,Single-Family,381000,2021-03-25,Liability,6043.89,True,2021,3,2021-03
POL054795,50,C4,21622,5.4,31,243000,Townhouse,211000,2021-03-27,Other,1722.56,True,2021,3,2021-03
POL032228,58,C8,8794,12.0,28,312000,Duplex,299000,2021-03-25,Water Damage,12771.01,True,2021,3,2021-03
POL037860,56,C2,27003,6.1,22,309000,Condo,269000,2021-03-06,Liability,19732.51,True,2021,3,2021-03
POL003883,45,C5,34738,3.7,1,671000,Townhouse,650000,2021-03-18,Fire (Non-Wildfire),24651.3,True,2021,3,2021-03
POL040147,35,C4,21622,5.4,10,286000,Townhouse,267000,2021-03-01,Liability,13835.42,True,2021,3,2021-03
POL022121,50,C7,6112,12.0,56,378000,Duplex,351000,2021-03-06,Water Damage,8816.39,True,2021,3,2021-03
POL024176,48,C8,8794,10.7,47,480000,Townhouse,478000,2021-03-20,Water Damage,7486.46,True,2021,3,2021-03
POL057254,39,C7,6112,0.9,1,138000,Townhouse,134000,2021-03-16,Fire (Non-Wildfire),10089.43,True,2021,3,2021-03
POL021151,44,C7,6112,6.0,26,228000,Single-Family,190000,2021-03-24,Water Damage,10122.73,True,2021,3,2021-03
POL055261,56,C8,8794,11.2,30,306000,Townhouse,293000,2021-03-27,Other,5138.34,True,2021,3,2021-03
POL000942,36,C2,27003,0.3,1,323000,Single-Family,287000,2021-03-24,Water Damage,9078.74,True,2021,3,2021-03
POL048786,36,C9,17804,10.3,8,380000,Condo,351000,2021-03-02,Wind/Hail,5275.32,True,2021,3,2021-03
POL042492,41,C5,34738,2.1,33,559000,Townhouse,471000,2021-03-02,Theft,2068.32,True,2021,3,2021-03
POL057751,35,C3,4076,12.4,34,374000,Single-Family,309000,2021-04-01,Water Damage,10189.53,True,2021,4,2021-04
POL006752,44,C8,8794,8.6,33,320000,Townhouse,258000,2021-04-14,Theft,3460.64,True,2021,4,2021-04
POL012489,57,C2,27003,10.2,34,315000,Single-Family,259000,2021-04-05,Water Damage,11648.52,True,2021,4,2021-04
POL046052,40,C12,34791,11.9,16,182000,Single-Family,182000,2021-04-27,Liability,15128.89,True,2021,4,2021-04
POL012939,43,C13,5410,11.9,15,289000,Townhouse,272000,2021-04-16,Water Damage,9575.65,True,2021,4,2021-04
POL040788,43,C8,8794,11.8,17,382000,Single-Family,376000,2021-04-17,Theft,2630.26,True,2021,4,2021-04
POL013102,40,C8,8794,4.9,48,186000,Townhouse,152000,2021-04-23,Water Damage,6873.99,True,2021,4,2021-04
POL047672,44,C8,8794,10.7,47,299000,Single-Family,285000,2021-04-22,Liability,15699.9,True,2021,4,2021-04
POL048103,52,C21,3264,3.4,19,311000,Condo,272000,2021-04-12,Water Damage,10699.33,True,2021,4,2021-04
POL051225,35,C8,8794,11.7,33,100000,Single-Family,94000,2021-04-20,Theft,3495.82,True,2021,4,2021-04
POL030000,47,C10,73430,0.9,38,484000,Single-Family,417000,2021-04-28,Water Damage,14010.63,True,2021,4,2021-04
POL031930,54,C19,27742,9.1,25,418000,Single-Family,356000,2021-04-08,Other,2048.9,True,2021,4,2021-04
POL019307,35,C2,27003,9.6,32,373000,Single-Family,319000,2021-04-08,Wind/Hail,8805.73,True,2021,4,2021-04
POL049078,39,C8,8794,10.5,24,278000,Single-Family,241000,2021-04-02,Water Damage,11084.56,True,2021,4,2021-04
POL052124,35,C10,73430,1.9,29,418000,Condo,335000,2021-04-05,Theft,3216.14,True,2021,4,2021-04
POL022667,35,C5,34738,0.6,37,320000,Single-Family,268000,2021-04-13,Theft,3458.65,True,2021,4,2021-04
POL029626,58,C5,34738,10.5,30,588000,Single-Family,498000,2021-04-17,Water Damage,5115.81,True,2021,4,2021-04
POL002861,39,C2,27003,0.8,33,396000,Single-Family,324000,2021-04-03,Water Damage,12589.08,True,2021,4,2021-04
POL037760,44,C13,5410,7.5,11,234000,Single-Family,230000,2021-04-15,Theft,1584.64,True,2021,4,2021-04
POL022100,48,C5,34738,6.2,1,342000,Single-Family,311000,2021-04-12,Wind/Hail,2911.25,True,2021,4,2021-04
POL030405,40,C2,27003,1.9,35,248000,Single-Family,215000,2021-04-03,Theft,2869.99,True,2021,4,2021-04
POL030604,45,C2,27003,3.5,24,356000,Single-Family,337000,2021-04-10,Liability,19552.15,True,2021,4,2021-04
POL000767,46,C14,7788,5.4,33,476000,Single-Family,411000,2021-04-16,Theft,3354.15,True,2021,4,2021-04
POL022527,38,C8,8794,0.9,30,411000,Townhouse,400000,2021-04-19,Theft,3406.07,True,2021,4,2021-04
POL002817,47,C8,8794,2.7,41,292000,Single-Family,250000,2021-04-03,Water Damage,11091.24,True,2021,4,2021-04
POL049904,47,C8,8794,6.2,3,312000,Single-Family,280000,2021-04-10,Water Damage,7944.2,True,2021,4,2021-04
POL046868,61,C8,8794,11.2,34,257000,Townhouse,222000,2021-04-02,Water Damage,6832.71,True,2021,4,2021-04
POL048167,44,C10,73430,6.5,28,407000,Single-Family,351000,2021-04-15,Water Damage,4283.26,True,2021,4,2021-04
POL016216,54,C5,34738,9.8,34,213000,Single-Family,204000,2021-04-23,Theft,3151.04,True,2021,4,2021-04
POL042138,49,C12,34791,11.2,18,452000,Condo,435000,2021-04-07,Theft,2174.82,True,2021,4,2021-04
POL046343,44,C5,34738,2.0,34,364000,Single-Family,314000,2021-04-20,Liability,17649.78,True,2021,4,2021-04
POL050801,40,C8,8794,10.2,44,228000,Single-Family,187000,2021-04-28,Wind/Hail,6721.48,True,2021,4,2021-04
POL033398,43,C10,73430,6.1,15,559000,Single-Family,509000,2021-04-08,Water Damage,9318.15,True,2021,4,2021-04
POL047249,43,C8,8794,9.4,21,239000,Condo,213000,2021-04-15,Theft,954.71,False,2021,4,2021-04
POL001307,43,C9,17804,1.0,1,361000,Single-Family,302000,2021-04-26,Water Damage,8028.12,True,2021,4,2021-04
POL050765,41,C7,6112,2.9,19,403000,Condo,338000,2021-04-26,Fire (Non-Wildfire),24879.31,True,2021,4,2021-04
POL013792,50,C8,8794,2.6,36,450000,Townhouse,386000,2021-04-08,Theft,500.0,False,2021,4,2021-04
POL033938,43,C8,8794,3.7,31,315000,Condo,306000,2021-04-13,Wind/Hail,5650.89,True,2021,4,2021-04
POL014876,39,C14,7788,10.1,18,361000,Single-Family,352000,2021-04-20,Liability,11936.98,True,2021,4,2021-04
POL008343,45,C9,17804,8.8,48,254000,Single-Family,204000,2021-04-22,Water Damage,8198.31,True,2021,4,2021-04
POL052553,46,C10,73430,0.4,21,577000,Townhouse,560000,2021-04-22,Wind/Hail,3977.03,True,2021,4,2021-04
POL001308,44,C2,27003,1.4,38,268000,Single-Family,229000,2021-04-28,Water Damage,11757.0,True,2021,4,2021-04
POL001776,37,C8,8794,10.9,34,308000,Single-Family,257000,2021-04-21,Liability,11255.82,True,2021,4,2021-04
POL009820,51,C14,7788,11.3,33,372000,Single-Family,315000,2021-04-04,Theft,650.76,False,2021,4,2021-04
POL028736,56,C8,8794,7.3,49,294000,Single-Family,259000,2021-04-12,Liability,6607.75,True,2021,4,2021-04
POL036072,42,C8,8794,4.3,16,384000,Single-Family,377000,2021-04-25,Theft,4429.71,True,2021,4,2021-04
POL037825,39,C5,34738,1.8,49,197000,Townhouse,191000,2021-04-22,Fire (Non-Wildfire),22343.18,True,2021,4,2021-04
POL014588,53,C3,4076,1.5,14,273000,Condo,241000,2021-04-23,Theft,500.0,False,2021,4,2021-04
POL007577,39,C3,4076,5.0,8,259000,Townhouse,218000,2021-04-12,Water Damage,9347.9,True,2021,4,2021-04
POL010091,49,C5,34738,6.1,43,217000,Single-Family,212000,2021-04-05,Theft,1329.3,True,2021,4,2021-04
POL026335,40,C3,4076,1.2,27,223000,Condo,203000,2021-04-02,Fire (Non-Wildfire),37405.56,True,2021,4,2021-04
POL026110,50,C2,27003,10.4,32,277000,Single-Family,259000,2021-04-27,Wind/Hail,2788.05,True,2021,4,2021-04
POL056593,44,C12,34791,5.6,17,669000,Condo,640000,2021-04-06,Liability,5962.32,True,2021,4,2021-04
POL022714,59,C8,8794,11.8,35,297000,Condo,273000,2021-04-11,Water Damage,12198.39,True,2021,4,2021-04
POL000909,45,C2,27003,10.9,27,520000,Single-Family,441000,2021-04-11,Water Damage,4884.9,True,2021,4,2021-04
POL007433,39,C10,73430,1.8,47,280000,Single-Family,267000,2021-05-09,Theft,3025.26,True,2021,5,2021-05
POL035317,44,C8,8794,1.0,37,334000,Single-Family,277000,2021-05-28,Water Damage,9817.49,True,2021,5,2021-05
POL008057,50,C2,27003,2.6,29,544000,Condo,480000,2021-05-12,Liability,9863.57,True,2021,5,2021-05
POL037609,35,C8,8794,2.9,3,299000,Single-Family,290000,2021-05-06,Liability,18559.56,True,2021,5,2021-05
POL053425,66,C8,8794,11.3,25,399000,Single-Family,335000,2021-05-26,Water Damage,8232.75,True,2021,5,2021-05
POL054337,52,C13,5410,10.1,8,284000,Condo,232000,2021-05-17,Wind/Hail,8425.62,True,2021,5,2021-05
POL054532,36,C2,27003,0.4,10,518000,Single-Family,441000,2021-05-04,Wind/Hail,6726.26,True,2021,5,2021-05
POL002797,40,C11,6108,0.5,7,295000,Townhouse,284000,2021-05-10,Liability,2186.16,True,2021,5,2021-05
POL016738,41,C3,4076,0.1,44,342000,Single-Family,303000,2021-05-26,Liability,16541.8,True,2021,5,2021-05
POL048194,47,C14,7788,12.2,27,354000,Single-Family,315000,2021-05-16,Liability,19404.3,True,2021,5,2021-05
POL033815,54,C1,4990,7.1,22,270000,Single-Family,224000,2021-05-16,Theft,1683.37,True,2021,5,2021-05
POL021263,43,C15,290,0.1,20,260000,Single-Family,226000,2021-05-28,Liability,13157.21,True,2021,5,2021-05
POL033391,35,C14,7788,10.8,37,279000,Single-Family,260000,2021-05-14,Liability,16477.47,True,2021,5,2021-05
POL035102,41,C8,8794,11.0,24,240000,Single-Family,216000,2021-05-19,Theft,3509.06,True,2021,5,2021-05
POL047602,42,C2,27003,2.9,20,553000,Single-Family,491000,2021-05-25,Liability,4293.71,True,2021,5,2021-05
POL052848,50,C8,8794,7.1,30,105000,Single-Family,86000,2021-05-01,Theft,3424.19,True,2021,5,2021-05
POL029129,39,C3,4076,2.1,19,229000,Single-Family,200000,2021-05-07,Liability,8778.72,True,2021,5,2021-05
POL035888,44,C8,8794,11.6,8,386000,Single-Family,313000,2021-05-11,Water Damage,7096.12,True,2021,5,2021-05
POL024857,44,C8,8794,5.6,53,324000,Single-Family,276000,2021-05-16,Wind/Hail,9172.25,True,2021,5,2021-05
POL027964,53,C11,6108,11.9,43,297000,Single-Family,240000,2021-05-01,Wind/Hail,10531.59,True,2021,5,2021-05
POL033762,40,C5,34738,10.2,14,368000,Single-Family,325000,2021-05-22,Theft,2675.23,True,2021,5,2021-05
POL033543,35,C8,8794,11.1,52,114000,Condo,110000,2021-05-15,Theft,3097.05,True,2021,5,2021-05
POL033398,43,C10,73430,6.1,15,559000,Single-Family,509000,2021-05-28,Theft,3436.49,True,2021,5,2021-05
POL004577,45,C3,4076,1.6,1,408000,Condo,377000,2021-05-18,Water Damage,8110.97,True,2021,5,2021-05
POL006668,43,C9,17804,0.8,39,293000,Condo,276000,2021-05-23,Water Damage,13602.79,True,2021,5,2021-05
POL036325,44,C2,27003,11.8,7,225000,Single-Family,223000,2021-05-02,Liability,15834.95,True,2021,5,2021-05
POL014761,37,C8,8794,12.0,1,398000,Single-Family,376000,2021-05-15,Water Damage,4768.65,True,2021,5,2021-05
POL022250,50,C4,21622,6.0,18,348000,Single-Family,286000,2021-05-19,Theft,2920.53,True,2021,5,2021-05
POL044252,37,C8,8794,0.9,39,355000,Single-Family,298000,2021-05-12,Theft,2803.24,True,2021,5,2021-05
POL050482,43,C5,34738,4.9,8,411000,Townhouse,411000,2021-05-12,Water Damage,5386.86,True,2021,5,2021-05
